STATEFP,COUNTYFP,TRACTCE,GEOID,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,data_as_of,data_loaded_at,multipolygon
6,75,11901,60750119012,G5030,15762,0,37.7910445,-122.4131872,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.414107 37.791416, -122.412461 37.791627, -122.412266 37.790673, -122.413088 37.790568, -122.413301 37.790541, -122.413916 37.790463, -122.414107 37.791416)))"
6,75,12202,60750122021,G5030,23109,0,37.7862359,-122.4189603,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.419928 37.786828, -122.418271 37.787038, -122.418179 37.786566, -122.418088 37.786101, -122.417996 37.785642, -122.419639 37.785433, -122.419739 37.785893, -122.419833 37.786359, -122.419928 37.786828)))"
6,75,13500,60750135003,G5030,59496,0,37.7898084,-122.4340234,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.435849 37.790502, -122.434203 37.790711, -122.433771 37.790766, -122.432562 37.79092, -122.432385 37.790044, -122.432197 37.789115, -122.433019 37.789011, -122.43384 37.788906, -122.435486 37.788697, -122.435581 37.789172, -122.435673 37.789629, -122.435849 37.790502)))"
6,75,13002,60750130022,G5030,92245,0,37.7966229,-122.4353981,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.437326 37.797811, -122.435678 37.798021, -122.434036 37.79823, -122.433847 37.797298, -122.433658 37.796367, -122.433469 37.795435, -122.434325 37.795326, -122.435113 37.795226, -122.436761 37.795016, -122.43695 37.795949, -122.437138 37.796879, -122.437326 37.797811)))"
6,75,16802,60750168022,G5030,76918,0,37.7734881,-122.4278574,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.430825 37.773973, -122.429178 37.774181, -122.427546 37.774388, -122.425888 37.774599, -122.425794 37.774132, -122.4257 37.773666, -122.425606 37.7732, -122.425512 37.772734, -122.427158 37.772525, -122.428802 37.772316, -122.428857 37.77259, -122.42889 37.772754, -122.42899 37.773248, -122.430629 37.773039, -122.430825 37.773973)))"
6,75,11902,60750119021,G5030,47097,0,37.791461,-122.409902,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.412461 37.791627, -122.411712 37.791722, -122.411102 37.791799, -122.410818 37.791835, -122.409171 37.792043, -122.408864 37.79208, -122.408364 37.792141, -122.408089 37.792179, -122.407536 37.792249, -122.407417 37.791668, -122.40734 37.791296, -122.40806 37.791205, -122.408165 37.791191, -122.408379 37.791165, -122.408976 37.791089, -122.410623 37.790881, -122.410998 37.790833, -122.412266 37.790673, -122.412461 37.791627)))"
6,75,15201,60750152012,G5030,30952,0,37.787391,-122.4267855,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.428525 37.787651, -122.426865 37.787862, -122.425237 37.78807, -122.425141 37.787597, -122.425047 37.78713, -122.426667 37.786925, -122.428336 37.786713, -122.428525 37.787651)))"
6,75,16500,60750165001,G5030,92573,0,37.7748244,-122.442852,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.44478 37.776017, -122.443132 37.776226, -122.441488 37.776435, -122.4413 37.775505, -122.44111 37.774567, -122.440922 37.773635, -122.442565 37.773424, -122.444216 37.773212, -122.444405 37.774149, -122.444593 37.775086, -122.44478 37.776017)))"
6,75,17804,60750178042,G5030,53512,0,37.7800028,-122.4052722,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.407159 37.779739, -122.405719 37.780878, -122.404933 37.7815, -122.404404 37.781077, -122.403921 37.780699, -122.403672 37.780497, -122.403387 37.780265, -122.404431 37.77944, -122.405615 37.778505, -122.406163 37.778943, -122.406628 37.779315, -122.407159 37.779739)))"
6,75,15802,60750158022,G5030,93047,0,37.7775139,-122.4380313,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.441866 37.7783, -122.440213 37.778511, -122.440027 37.777587, -122.439426 37.777661, -122.438812 37.777738, -122.438435 37.777786, -122.438308 37.777801, -122.438237 37.77781, -122.43694 37.777975, -122.436697 37.778006, -122.435052 37.778213, -122.433869 37.778363, -122.433407 37.778422, -122.433219 37.77749, -122.434864 37.777281, -122.436507 37.777068, -122.438131 37.776862, -122.438244 37.776848, -122.439844 37.776644, -122.44034 37.77658, -122.441488 37.776435, -122.441634 37.777156, -122.441641 37.777191, -122.441678 37.777373, -122.441866 37.7783)))"
