Census Blockgroup,Children,Children_wNULLvalues,Elderly,Elderly_wNULLvalues,NonWhite,NonWhite_wNullvalues,Poverty,Poverty_wNULLvalues,Education,Education_wNULLvalues,English,English_wNULLvalues,Elevation,SeaLevelRise,Precipitation,Diabetes,MentalHealth,Asthma,Disability,Disability_wNULLvalues,HousingQuality,Homeless,LivAlone,LivAlone_wNULLvalues,FloodHealthIndex,FloodHealthIndex_Quintiles,STATEFP,COUNTYFP,TRACTCE,GEOID,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,data_as_of,data_loaded_at,multipolygon
60759809001,0.0729571224289,,8.03785e-10,,0.599175,0.599175,0.356678376001,,0.996079927094,0.996079927094,0.150558628451,,-6.0,0.182261,0.035771,22.0584,36.52,15.1339,0.133608318612,,14.1093,17.5025,0.48059111555,0.48059111555,84.819,5,6,75,980900,60759809001,G5030,3602295,258160,37.746286,-122.3894769,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.407114 37.73906, -122.407062 37.73957, -122.406952 37.740495, -122.406835 37.740855, -122.40673 37.741119, -122.406574 37.741381, -122.406289 37.741774, -122.405838 37.742392, -122.405305 37.743115, -122.404904 37.743681, -122.40459 37.744126, -122.404527 37.744298, -122.404185 37.745237, -122.404203 37.745484, -122.404228 37.745568, -122.404257 37.745665, -122.404315 37.74593, -122.40429 37.745961, -122.404169 37.74611, -122.404064 37.746253, -122.403924 37.746594, -122.403712 37.747202, -122.403662 37.747412, -122.403561 37.747762, -122.403674 37.748056, -122.403802 37.74833, -122.403867 37.748397, -122.403897 37.748429, -122.404052 37.74859, -122.403991 37.748781, -122.403827 37.749297, -122.403784 37.749433, -122.403593 37.749472, -122.403569 37.749475, -122.403261 37.74953, -122.403203 37.749534, -122.403055 37.749544, -122.402861 37.749543, -122.402854 37.749613, -122.402851 37.749642, -122.402842 37.749748, -122.402801 37.750201, -122.402784 37.750386, -122.402725 37.750497, -122.402605 37.750558, -122.402184 37.750581, -122.401232 37.750632, -122.400472 37.750673, -122.400217 37.750753, -122.399845 37.750883, -122.399414 37.75099, -122.398341 37.751055, -122.396408 37.751179, -122.396513 37.752311, -122.395548 37.752369, -122.394587 37.752427, -122.393619 37.752485, -122.393185 37.752512, -122.392639 37.752545, -122.391656 37.752604, -122.391567 37.752609, -122.39153 37.752612, -122.391284 37.752627, -122.391231 37.75263, -122.391129 37.752636, -122.390683 37.752663, -122.38973 37.752721, -122.388753 37.752778, -122.388089 37.752817, -122.38789 37.752819, -122.387696 37.752831, -122.386812 37.75289, -122.385846 37.752946, -122.38488 37.753002, -122.383914 37.753058, -122.382951 37.753114, -122.381985 37.75317, -122.381711 37.753186, -122.380985 37.753228, -122.380014 37.753358, -122.377981 37.753629, -122.376064 37.75256, -122.373188 37.745948, -122.372762 37.745505, -122.374763 37.743843, -122.376113 37.741477, -122.376847 37.740192, -122.37742 37.739557, -122.377722 37.739221, -122.37911 37.73768, -122.379169 37.737766, -122.38011 37.738308, -122.380366 37.738531, -122.380797 37.738776, -122.380887 37.738828, -122.38099 37.73872, -122.381558 37.738123, -122.38341 37.739177, -122.385282 37.74024, -122.387143 37.741297, -122.386599 37.741901, -122.386555 37.74195, -122.3865 37.742011, -122.386603 37.742068, -122.387705 37.742697, -122.387861 37.742692, -122.387999 37.742757, -122.38825 37.741954, -122.38855 37.74115, -122.388821 37.740355, -122.389113 37.739579, -122.389425 37.738803, -122.389526 37.738857, -122.389595 37.738894, -122.389689 37.738946, -122.391268 37.739853, -122.391831 37.739228, -122.391921 37.739128, -122.392393 37.738603, -122.392965 37.737961, -122.393524 37.737351, -122.394093 37.736729, -122.394908 37.737193, -122.395119 37.737314, -122.395945 37.737784, -122.39781 37.738847, -122.399645 37.73988, -122.399685 37.739902, -122.399718 37.739905, -122.399752 37.739908, -122.399848 37.739937, -122.399982 37.739949, -122.400147 37.739914, -122.40091 37.739699, -122.40208 37.739368, -122.403194 37.739059, -122.404292 37.738754, -122.405051 37.738548, -122.405642 37.738379, -122.406853 37.73805, -122.406934 37.738024, -122.407009 37.738002, -122.407054 37.738458, -122.407069 37.738554, -122.407114 37.73906)))"
60750117001,0.0271490014679,,0.103000000901,,0.697,0.697,0.378595002719,0.378595002719,0.862000015261,0.862000015261,0.171000001281,,-1.99906,0.106609,0.00532113,1.4068,98.5924,0.8008,0.187000001281,,39.5622,4.9374,0.635000007496,0.635000007496,83.4791,5,6,75,11700,60750117001,G5030,58882,0,37.7915041,-122.4057834,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.407513 37.792252, -122.406718 37.792352, -122.405938 37.792451, -122.405654 37.792487, -122.404418 37.792639, -122.40422 37.791691, -122.404031 37.79076, -122.404333 37.790722, -122.4044 37.790713, -122.404767 37.790667, -122.405267 37.790604, -122.405574 37.790565, -122.406331 37.79047, -122.407126 37.790368, -122.407149 37.790366, -122.407209 37.790658, -122.40734 37.791296, -122.407417 37.791668, -122.407536 37.792249, -122.407513 37.792252)))"
60750232002,0.255127660871,,0.100990574381,0.100990574381,0.943005,,0.427604837779,0.427604837779,0.709933071233,0.709933071233,0.0919912328841,,-6.0,0.102409,0.0151036,23.1903,38.5638,16.1088,0.107989804438,,6.2182,17.613,0.26597487641,,80.8657,5,6,75,23200,60750232002,G5030,515994,0,37.7263946,-122.3838027,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.389238 37.726415, -122.388673 37.727044, -122.38811 37.727666, -122.387551 37.728294, -122.386984 37.728919, -122.386418 37.729543, -122.385853 37.730167, -122.385287 37.730791, -122.383431 37.729738, -122.381564 37.728678, -122.379992 37.727785, -122.379697 37.727618, -122.378817 37.727119, -122.377833 37.72656, -122.378392 37.725932, -122.378951 37.725304, -122.379511 37.724677, -122.380149 37.723959, -122.380787 37.723388, -122.381425 37.722834, -122.382176 37.722246, -122.382265 37.722284, -122.382325 37.722295, -122.382375 37.722309, -122.382417 37.722337, -122.382451 37.722372, -122.38248 37.72238, -122.382533 37.722381, -122.382565 37.722396, -122.382586 37.722422, -122.382594 37.72247, -122.382642 37.722502, -122.382763 37.722575, -122.382855 37.722626, -122.382925 37.722634, -122.382948 37.722669, -122.382988 37.722705, -122.383039 37.722731, -122.383111 37.722758, -122.383185 37.722801, -122.383264 37.722863, -122.383354 37.722913, -122.383612 37.723027, -122.383648 37.723058, -122.383682 37.723132, -122.383712 37.723156, -122.383732 37.723166, -122.383737 37.723184, -122.383762 37.723193, -122.383803 37.723186, -122.383823 37.723195, -122.38385 37.723255, -122.383858 37.723272, -122.383873 37.723348, -122.383894 37.723421, -122.383914 37.723444, -122.383935 37.723452, -122.384189 37.723479, -122.384289 37.723507, -122.384364 37.723545, -122.384417 37.723596, -122.384506 37.723639, -122.38455 37.723677, -122.384595 37.723728, -122.384652 37.723767, -122.384721 37.723801, -122.38476 37.723839, -122.38479 37.723875, -122.38483 37.723897, -122.384852 37.723903, -122.384883 37.723903, -122.384929 37.72395, -122.384974 37.724024, -122.385006 37.724063, -122.385024 37.724098, -122.38505 37.724113, -122.385087 37.724113, -122.385141 37.724101, -122.385208 37.724102, -122.385268 37.724119, -122.385332 37.724145, -122.385397 37.724155, -122.385459 37.724152, -122.385549 37.72414, -122.385582 37.724135, -122.385611 37.724145, -122.385675 37.724204, -122.385747 37.724243, -122.385853 37.724281, -122.385919 37.724322, -122.385966 37.724358, -122.386028 37.72438, -122.386089 37.724407, -122.38613 37.724439, -122.386185 37.724463, -122.386246 37.724474, -122.386388 37.724478, -122.386485 37.724465, -122.386637 37.724426, -122.386706 37.72439, -122.386755 37.724347, -122.386774 37.724318, -122.3868 37.724305, -122.386899 37.724289, -122.386926 37.72427, -122.386936 37.724245, -122.386928 37.724171, -122.386905 37.724141, -122.386748 37.724067, -122.3866 37.723979, -122.386544 37.72394, -122.386051 37.723663, -122.385913 37.723614, -122.385881 37.723587, -122.38586 37.723556, -122.38576 37.723521, -122.385736 37.723505, -122.385717 37.723483, -122.385693 37.723474, -122.38558 37.723402, -122.385499 37.723365, -122.385446 37.723361, -122.385409 37.723344, -122.385349 37.723308, -122.385278 37.723279, -122.385201 37.723242, -122.385101 37.723213, -122.385033 37.723198, -122.384965 37.723165, -122.384843 37.723094, -122.384717 37.723031, -122.384678 37.722997, -122.384638 37.722952, -122.384605 37.722938, -122.384517 37.722862, -122.38521 37.723088, -122.386139 37.723583, -122.3868 37.723987, -122.38727 37.724282, -122.387362 37.724393, -122.38793 37.724729, -122.389801 37.725791, -122.389238 37.726415)))"
60750178012,0.018917,,0.554,0.554,0.741,0.741,0.577931,0.577931,0.64,0.64,0.535,0.535,-4.2587,0.0691119,0.00908376,9.9,14.55,4.6817,0.452,0.452,0.462321,19.2683,0.678,0.678,80.52589999999998,5,6,75,17801,60750178012,G5030,53403,0,37.7805281,-122.4015013,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.403387 37.780265, -122.402245 37.781167, -122.401929 37.781416, -122.40116 37.782024, -122.400613 37.781588, -122.400285 37.781326, -122.40015 37.781218, -122.399616 37.780791, -122.401843 37.779032, -122.402377 37.779459, -122.402487 37.779547, -122.402518 37.779572, -122.402658 37.779683, -122.402841 37.779829, -122.403387 37.780265)))"
60750612001,0.207265008702,,0.105,,0.917,0.917,0.503776042544,,0.636000118811,0.636000118811,0.220000017958,,0.851755,0.000183621,0.00701462,23.2,38.58,16.1156,0.0900000159366,,8.45712,17.613,0.264000057324,0.264000057324,80.1859,5,6,75,61200,60750612001,G5030,229835,0,37.7376279,-122.3883853,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.39106 37.734066, -122.390897 37.734505, -122.390801 37.734859, -122.390516 37.735647, -122.390379 37.735991, -122.390224 37.736433, -122.389958 37.737222, -122.389701 37.73802, -122.389425 37.738803, -122.389113 37.739579, -122.388821 37.740355, -122.38855 37.74115, -122.38825 37.741954, -122.387999 37.742757, -122.387861 37.742692, -122.387705 37.742697, -122.386603 37.742068, -122.3865 37.742011, -122.386555 37.74195, -122.386599 37.741901, -122.387143 37.741297, -122.385282 37.74024, -122.385835 37.739609, -122.386399 37.738983, -122.386962 37.738359, -122.387528 37.737731, -122.388091 37.737106, -122.388653 37.736483, -122.388529 37.736475, -122.387253 37.735751, -122.38717 37.735698, -122.387029 37.735623, -122.386812 37.735492, -122.386881 37.735413, -122.386901 37.735389, -122.38709 37.735166, -122.387382 37.734823, -122.387399 37.734738, -122.38791 37.73417, -122.388482 37.733534, -122.389035 37.732919, -122.390968 37.734014, -122.39106 37.734066)))"
60750180001,0.0423010296393,,0.0500001958613,,0.602,0.602,0.299615246008,0.299615246008,0.864000460895,0.864000460895,0.0480002095726,,-5.3631,0.348208,0.0347239,9.9,14.5501,4.6817,0.134000159165,0.134000159165,3.03306,19.2683,0.571000316981,0.571000316981,80.179,5,6,75,18000,60750180001,G5030,107102,0,37.7792048,-122.3954099,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.39806 37.779567, -122.396846 37.780527, -122.396382 37.780894, -122.395843 37.781321, -122.395518 37.781062, -122.395065 37.780701, -122.394631 37.780354, -122.3943 37.78009, -122.39275 37.778852, -122.393287 37.778427, -122.393537 37.77823, -122.393857 37.777977, -122.394981 37.777089, -122.395744 37.777698, -122.396531 37.778327, -122.397062 37.778751, -122.397539 37.779132, -122.39806 37.779567)))"
60750125021,0.043981,,0.25,0.25,0.868,0.868,0.725127,0.725127,0.57,0.57,0.419,0.419,35.2041,0.0,0.00600325,15.4995,63.7475,12.9667,0.327,0.327,6.70196,19.2683,0.673,0.673,79.81280000000001,5,6,75,12502,60750125021,G5030,15364,0,37.7845036,-122.4118669,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.412782 37.784866, -122.412214 37.784938, -122.41184 37.784985, -122.41114 37.785075, -122.410952 37.784141, -122.412595 37.783933, -122.4127 37.78446, -122.412782 37.784866)))"
60750177002,0.0840390116844,,0.0970000199892,0.0970000199892,0.565,0.565,0.326481074537,0.326481074537,0.783000158082,0.783000158082,0.0850000241537,,3.85416,0.0,0.155139,15.6917,58.2542,9.9887,0.158000034815,0.158000034815,18.6841,10.2643,0.451000115105,0.451000115105,78.8193,5,6,75,17700,60750177002,G5030,452842,0,37.7689653,-122.4158353,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.41931 37.775233, -122.419219 37.775316, -122.418704 37.775645, -122.418659 37.775558, -122.417515 37.774651, -122.417104 37.774325, -122.416576 37.773906, -122.416104 37.773532, -122.415561 37.773101, -122.415002 37.772649, -122.414392 37.772158, -122.414027 37.771864, -122.41248 37.77063, -122.412619 37.770521, -122.412751 37.770389, -122.413046 37.770052, -122.413209 37.769854, -122.413347 37.769578, -122.413385 37.769502, -122.413389 37.769459, -122.413427 37.769036, -122.413396 37.768671, -122.413341 37.768023, -122.41326 37.76707, -122.413227 37.766725, -122.413105 37.765448, -122.413003 37.764091, -122.413588 37.763823, -122.413722 37.763779, -122.415155 37.763697, -122.416227 37.763635, -122.417332 37.763572, -122.417487 37.765183, -122.417542 37.765752, -122.417645 37.766805, -122.417802 37.768405, -122.417838 37.768486, -122.417857 37.769194, -122.41783 37.769467, -122.417813 37.769637, -122.41781 37.76967, -122.417805 37.769719, -122.417803 37.769739, -122.417788 37.769761, -122.417761 37.769803, -122.417764 37.769857, -122.417781 37.769918, -122.417777 37.769975, -122.41772 37.770357, -122.417794 37.770435, -122.417915 37.770626, -122.417995 37.770765, -122.418029 37.770876, -122.418399 37.772102, -122.418439 37.772223, -122.418469 37.772323, -122.418608 37.772731, -122.418638 37.772905, -122.418685 37.773035, -122.418699 37.773081, -122.419271 37.774904, -122.419299 37.775034, -122.419334 37.77521, -122.41931 37.775233)))"
60750234001,0.300350376409,0.300350376409,0.115999763576,0.115999763576,0.964,,0.629357302214,0.629357302214,0.694998903899,0.694998903899,0.155999604103,,-0.903518,0.0177518,0.0102606,23.2,38.58,16.1156,0.148999630006,0.148999630006,8.51257,17.613,0.168999885683,0.168999885683,78.19919999999999,5,6,75,23400,60750234001,G5030,391280,0,37.723107,-122.3926639,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.396636 37.720364, -122.396463 37.72074, -122.396384 37.720914, -122.396331 37.721008, -122.396018 37.721739, -122.395708 37.722432, -122.395654 37.722578, -122.395406 37.723122, -122.39534 37.723255, -122.395297 37.72336, -122.395064 37.72387, -122.394989 37.724009, -122.394951 37.724096, -122.394692 37.724662, -122.394352 37.725408, -122.394276 37.725503, -122.393941 37.726287, -122.393595 37.726994, -122.393284 37.727764, -122.393165 37.727696, -122.393094 37.727655, -122.39296 37.727579, -122.39167 37.726851, -122.389801 37.725791, -122.38793 37.724729, -122.388496 37.7241, -122.389053 37.723482, -122.38962 37.722851, -122.390183 37.722225, -122.390745 37.7216, -122.391306 37.720976, -122.39187 37.720349, -122.392418 37.71974, -122.392982 37.719114, -122.393545 37.718487, -122.395431 37.719558, -122.396364 37.720087, -122.396479 37.720152, -122.396545 37.720189, -122.396682 37.720266, -122.396636 37.720364)))"
60750177001,0.0840390894744,,0.0970000505155,,0.565,0.565,0.326481246024,0.326481246024,0.783000706447,0.783000706447,0.0850000521716,,2.04311,0.0,0.0361009,15.677,58.0795,9.961,0.158000075719,0.158000075719,9.86611,13.468,0.451000339989,0.451000339989,78.1593,5,6,75,17700,60750177001,G5030,451236,0,37.7671193,-122.4091364,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.413427 37.769036, -122.413389 37.769459, -122.413385 37.769502, -122.413347 37.769578, -122.413209 37.769854, -122.413046 37.770052, -122.412751 37.770389, -122.412619 37.770521, -122.41248 37.77063, -122.410989 37.769456, -122.410959 37.769433, -122.410931 37.769411, -122.410908 37.769429, -122.410886 37.769447, -122.409736 37.770349, -122.409035 37.769793, -122.408436 37.769318, -122.408007 37.769244, -122.407895 37.769343, -122.407739 37.769466, -122.40764 37.769545, -122.407623 37.769558, -122.407587 37.769586, -122.407001 37.77005, -122.406213 37.769463, -122.405939 37.769659, -122.405844 37.769665, -122.405589 37.76968, -122.405408 37.76969, -122.405203 37.769702, -122.40499 37.769715, -122.404875 37.768531, -122.40475 37.767257, -122.404623 37.765958, -122.404497 37.764664, -122.40484 37.764643, -122.40509 37.764628, -122.405463 37.764606, -122.406429 37.764548, -122.40742 37.764488, -122.408424 37.764427, -122.409393 37.764369, -122.410364 37.76431, -122.41133 37.764252, -122.412293 37.764193, -122.412859 37.764159, -122.413003 37.764091, -122.413105 37.765448, -122.413227 37.766725, -122.41326 37.76707, -122.413341 37.768023, -122.413396 37.768671, -122.413427 37.769036)))"
